type,name,module,line,snippet
top-level-arrow,ROOM_WORLD_LAYOUTS,31-neighborhood-world-controller.js,0,"const ROOM_WORLD_LAYOUTS=new Map((window.OTTHI_CONFIG?.rooms||[]).map(room=>[room.id,{...room,shortName:String(room.name||'Bairro').replace('Bairro da ','').replace('Bairro do ','').replace('Bairro ','')}]))"
function-declaration,roomWorldInfo,00-runtime-foundation.js,3,
function-declaration,roomHouseMarkers,00-runtime-foundation.js,5,
function-declaration,mapHouseLocations,00-runtime-foundation.js,7,
top-level-arrow,$,00-runtime-foundation.js,9,"const $ = (s, root = document) => root.querySelector(s);"
function-declaration,mapRegionsMarkup,00-runtime-foundation.js,9,
top-level-arrow,$$,00-runtime-foundation.js,10,"const $$ = (s, root = document) => [...root.querySelectorAll(s)];"
top-level-arrow,clamp,00-runtime-foundation.js,11,"const clamp = (v, a, b) => Math.max(a, Math.min(b, v));"
function-declaration,clearRemoteRoomEntities,00-runtime-foundation.js,11,
top-level-arrow,lerp,00-runtime-foundation.js,12,"const lerp = (a, b, t) => a + (b - a) * t;"
top-level-arrow,approachNumber,00-runtime-foundation.js,13,"const approachNumber=(value,target,step)=>value<target?Math.min(target,value+Math.abs(step)):Math.max(target,value-Math.abs(step));"
top-level-arrow,lerpAngle,00-runtime-foundation.js,14,"const lerpAngle = (a, b, t) => { let d=((b-a+Math.PI)%(Math.PI*2))-Math.PI; if(d<-Math.PI)d+=Math.PI*2; return a+d*t; };"
top-level-arrow,distance2D,00-runtime-foundation.js,15,"const distance2D = (a, b) => Math.hypot(a.x - b.x, a.z - b.z);"
top-level-arrow,uid,00-runtime-foundation.js,16,const uid = () => (crypto.randomUUID ? crypto.randomUUID() : `p-${Date.now()}-${Math.random().toString(16).slice(2)}`);
top-level-arrow,safePointerCapture,00-runtime-foundation.js,17,"const safePointerCapture=(element,pointerId)=>{try{if(element?.setPointerCapture&&Number.isInteger(pointerId))element.setPointerCapture(pointerId);return true;}catch{return false;}};"
top-level-arrow,safePointerRelease,00-runtime-foundation.js,18,"const safePointerRelease=(element,pointerId)=>{try{if(element?.hasPointerCapture?.(pointerId))element.releasePointerCapture(pointerId);return true;}catch{return false;}};"
function-declaration,resetMobilityForRoomChange,00-runtime-foundation.js,19,
top-level-arrow,safeLocalGet,00-runtime-foundation.js,22,const safeLocalGet = key => { try { return window.localStorage?.getItem(key) ?? null; } catch { return null; } };
top-level-arrow,safeLocalSet,00-runtime-foundation.js,23,"const safeLocalSet = (key, value) => { try { window.localStorage?.setItem(key, value); return true; } catch { return false; } };"
top-level-arrow,safeLocalRemove,00-runtime-foundation.js,24,const safeLocalRemove = key => { try { window.localStorage?.removeItem(key); return true; } catch { return false; } };
function-declaration,canChangeRoom,01-build-persistence.js,29,
function-declaration,focusCurrentRoom,01-build-persistence.js,31,
function-declaration,applyRoomWorld,01-build-persistence.js,33,
function-declaration,stableBuildId,01-build-persistence.js,53,
function-declaration,normalizeBuildRecord,01-build-persistence.js,59,
function-declaration,normalizeBuildList,01-build-persistence.js,66,
function-declaration,normalizeBuildTombstones,01-build-persistence.js,75,
function-declaration,mergeBuildTombstones,01-build-persistence.js,84,
function-declaration,applyBuildTombstones,01-build-persistence.js,85,
function-declaration,mergeBuildCollections,01-build-persistence.js,89,
function-declaration,mergeEntityCollections,01-build-persistence.js,92,
top-level-arrow,defaultState,01-build-persistence.js,93,const defaultState = () => ({
function-declaration,normalizeState,02-state-save-cloud-account.js,169,
function-declaration,loadState,02-state-save-cloud-account.js,223,
function-declaration,commitState,02-state-save-cloud-account.js,272,
function-declaration,saveState,02-state-save-cloud-account.js,289,
function-declaration,cloudProgressPayload,02-state-save-cloud-account.js,297,
function-declaration,syncCloudProgress,02-state-save-cloud-account.js,306,
function-declaration,mergeCloudProgress,02-state-save-cloud-account.js,310,
function-declaration,accountLinked,02-state-save-cloud-account.js,331,
function-declaration,accountPromptWasHandled,02-state-save-cloud-account.js,332,
function-declaration,accountStatusText,02-state-save-cloud-account.js,333,
function-declaration,syncGameAccount,02-state-save-cloud-account.js,350,
function-declaration,openAccountForm,03-ui-modal-install-pwa.js,404,
function-declaration,openAccountCenter,03-ui-modal-install-pwa.js,413,
function-declaration,addXP,03-ui-modal-install-pwa.js,423,
function-declaration,addCoins,03-ui-modal-install-pwa.js,434,
function-declaration,addReputation,03-ui-modal-install-pwa.js,438,
function-declaration,awardMedal,03-ui-modal-install-pwa.js,442,
function-declaration,setFlag,03-ui-modal-install-pwa.js,448,
function-declaration,showScreen,03-ui-modal-install-pwa.js,455,
function-declaration,toast,03-ui-modal-install-pwa.js,460,
function-declaration,vibrate,03-ui-modal-install-pwa.js,466,
function-declaration,beep,03-ui-modal-install-pwa.js,469,
function-declaration,openModal,03-ui-modal-install-pwa.js,484,
function-declaration,closeModal,03-ui-modal-install-pwa.js,499,
top-level-arrow,isStandalone,03-ui-modal-install-pwa.js,504,const isStandalone = () => window.matchMedia?.('(display-mode: standalone)').matches || navigator.standalone === true || safeLocalGet('otthos_installed') === '1';
function-declaration,confirmModal,03-ui-modal-install-pwa.js,517,
function-declaration,updateInstallUI,03-ui-modal-install-pwa.js,531,
function-declaration,isOfficialOtthiGameAddress,03-ui-modal-install-pwa.js,578,
function-declaration,localDateKey,04-education-daily-quiz.js,685,
function-declaration,daysBetween,04-education-daily-quiz.js,686,
function-declaration,ensureDailyChallenges,04-education-daily-quiz.js,687,
function-declaration,dailyDefinition,04-education-daily-quiz.js,688,
function-declaration,trackDaily,04-education-daily-quiz.js,689,
function-declaration,updateDailyBadge,04-education-daily-quiz.js,695,
function-declaration,claimDailyQuest,04-education-daily-quiz.js,696,
function-declaration,seeded,04-education-daily-quiz.js,710,
function-declaration,shuffled,04-education-daily-quiz.js,711,
function-declaration,choiceSet,04-education-daily-quiz.js,712,
function-declaration,mathRound,04-education-daily-quiz.js,713,
function-declaration,portugueseRound,04-education-daily-quiz.js,722,
function-declaration,englishRound,04-education-daily-quiz.js,731,
function-declaration,generateEducationRounds,04-education-daily-quiz.js,740,
function-declaration,subjectLevelRecord,04-education-daily-quiz.js,741,
function-declaration,subjectUnlocked,04-education-daily-quiz.js,742,
function-declaration,educationSummary,04-education-daily-quiz.js,743,
function-declaration,speakKidWord,04-education-daily-quiz.js,744,
function-declaration,dailyChallengesHtml,04-education-daily-quiz.js,745,
function-declaration,educationSubjectHtml,04-education-daily-quiz.js,746,
function-declaration,openEducationHub,04-education-daily-quiz.js,747,
function-declaration,openChallengeHub,04-education-daily-quiz.js,757,
function-declaration,openDailyChallenges,04-education-daily-quiz.js,758,
function-declaration,runEducationGame,04-education-daily-quiz.js,759,
function-declaration,startSoloEducationGame,04-education-daily-quiz.js,773,
function-declaration,finishSoloEducationGame,04-education-daily-quiz.js,774,
function-declaration,startCinematicEmote,04-education-daily-quiz.js,777,
function-declaration,triggerEmote,04-education-daily-quiz.js,780,
function-declaration,openQuiz,05-avatar-life-customization.js,791,
function-declaration,openCollection,05-avatar-life-customization.js,794,
function-declaration,effectiveAvatarUniform,05-avatar-life-customization.js,813,
function-declaration,avatarChoiceGroup,05-avatar-life-customization.js,821,
function-declaration,openAvatarStudio,05-avatar-life-customization.js,826,
function-declaration,openLifePanel,05-avatar-life-customization.js,836,
function-declaration,openMolds,05-avatar-life-customization.js,852,
function-declaration,openHow,05-avatar-life-customization.js,855,
function-declaration,deriveMissionFlags,06-missions-profile-hud-inventory-tools.js,954,
function-declaration,evaluateMissions,06-missions-profile-hud-inventory-tools.js,966,
function-declaration,updateMissionHUD,06-missions-profile-hud-inventory-tools.js,984,
function-declaration,objectiveStatusLabel,06-missions-profile-hud-inventory-tools.js,1003,
function-declaration,skillMasterySummary,06-missions-profile-hud-inventory-tools.js,1004,
function-declaration,pinChapter,06-missions-profile-hud-inventory-tools.js,1005,
function-declaration,openObjectivesPanel,06-missions-profile-hud-inventory-tools.js,1006,
function-declaration,sanitizePlayerName,06-missions-profile-hud-inventory-tools.js,1014,
function-declaration,hasValidPlayerName,06-missions-profile-hud-inventory-tools.js,1015,
function-declaration,playerDisplayName,06-missions-profile-hud-inventory-tools.js,1016,
function-declaration,playerText,06-missions-profile-hud-inventory-tools.js,1017,
function-declaration,updatePlayerNameUI,06-missions-profile-hud-inventory-tools.js,1018,
function-declaration,applyPlayerName,06-missions-profile-hud-inventory-tools.js,1019,
function-declaration,openPlayerNameModal,06-missions-profile-hud-inventory-tools.js,1020,
function-declaration,updateLobbyStats,06-missions-profile-hud-inventory-tools.js,1025,
function-declaration,updateHUD,06-missions-profile-hud-inventory-tools.js,1032,
function-declaration,openInventory,06-missions-profile-hud-inventory-tools.js,1047,
function-declaration,equippedTool,06-missions-profile-hud-inventory-tools.js,1060,
function-declaration,equipTool,06-missions-profile-hud-inventory-tools.js,1061,
function-declaration,openToolbelt,07-navigation-traffic-routes.js,1064,
function-declaration,refreshEquippedToolVisual,07-navigation-traffic-routes.js,1067,
function-declaration,playToolAnimation,07-navigation-traffic-routes.js,1081,
function-declaration,routeLength,07-navigation-traffic-routes.js,1090,
function-declaration,compactRoute,07-navigation-traffic-routes.js,1091,
function-declaration,projectPointToSegment,07-navigation-traffic-routes.js,1092,
function-declaration,navBlocked,07-navigation-traffic-routes.js,1093,
function-declaration,segmentClear,07-navigation-traffic-routes.js,1094,
function-declaration,nearestRoadProjection,07-navigation-traffic-routes.js,1095,
function-declaration,pointOnRoad,07-navigation-traffic-routes.js,1096,
function-declaration,projectPointToPolyline,07-navigation-traffic-routes.js,1097,
function-declaration,snapTrafficToRoad,07-navigation-traffic-routes.js,1102,
function-declaration,trafficActorList,07-navigation-traffic-routes.js,1108,
function-declaration,trafficPriority,07-navigation-traffic-routes.js,1120,
function-declaration,trafficSpeedFactor,07-navigation-traffic-routes.js,1121,
function-declaration,captureTrafficPositions,07-navigation-traffic-routes.js,1131,
function-declaration,resolveTrafficOverlaps,07-navigation-traffic-routes.js,1132,
function-declaration,graphAdd,07-navigation-traffic-routes.js,1145,
function-declaration,graphShortest,07-navigation-traffic-routes.js,1146,
function-declaration,buildRoutePoints,07-navigation-traffic-routes.js,1147,
function-declaration,routeProgressInfo,07-navigation-traffic-routes.js,1159,
function-declaration,remainingRoute,07-navigation-traffic-routes.js,1160,
function-declaration,sampleRoute,07-navigation-traffic-routes.js,1161,
function-declaration,createRouteGuide,07-navigation-traffic-routes.js,1162,
function-declaration,updateRouteGuide,07-navigation-traffic-routes.js,1163,
function-declaration,miniPoint,07-navigation-traffic-routes.js,1164,
function-declaration,miniMapLogicalSize,07-navigation-traffic-routes.js,1165,
function-declaration,miniMapScale,07-navigation-traffic-routes.js,1166,
function-declaration,drawMiniMap,07-navigation-traffic-routes.js,1167,
function-declaration,updateNavigation,07-navigation-traffic-routes.js,1176,
function-declaration,routeSvgMarkup,07-navigation-traffic-routes.js,1177,
function-declaration,mapLocationDetails,08-map-parent-settings.js,1228,
function-declaration,worldToMap,08-map-parent-settings.js,1230,
function-declaration,currentMapLocations,08-map-parent-settings.js,1232,
function-declaration,mapDistance,08-map-parent-settings.js,1234,
function-declaration,mapMarkerPlacements,08-map-parent-settings.js,1238,
function-declaration,applyMapMarkerPlacements,08-map-parent-settings.js,1281,
function-declaration,mapSelectionMarkup,08-map-parent-settings.js,1289,
function-declaration,setWaypoint,08-map-parent-settings.js,1293,
function-declaration,clearWaypoint,08-map-parent-settings.js,1298,
function-declaration,openMap,08-map-parent-settings.js,1299,
function-declaration,refreshOpenMapAfterResize,08-map-parent-settings.js,1318,
function-declaration,performLocalReset,08-map-parent-settings.js,1321,
function-declaration,openFinalResetConfirmation,08-map-parent-settings.js,1324,
function-declaration,openParentTools,08-map-parent-settings.js,1330,
function-declaration,openParentGate,08-map-parent-settings.js,1338,
function-declaration,openSettings,08-map-parent-settings.js,1349,
top-level-arrow,toggleMission,09-responsive-ar-quality-diagnostics.js,1370,const toggleMission = () => openObjectivesPanel();
